GeneID	Tiefora_v_Ngousso_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kisumu_log2FoldChange	VK7_v_Kisumu_log2FoldChange	Cameroon_v_Ngousso_log2FoldChange	Chad_v_Ngousso_log2FoldChange	Niger_v_Ngousso_log2FoldChange	Nigeria_v_Ngousso_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_Ngousso_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_Ngousso_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_Ngousso_log2FoldChange	Bouake_gamb_unexp_v_Kisumu_log2FoldChange	Bouake_colu_unexp_v_Ngousso_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	GeneName	GeneDescription
AGAP009212	0.413	0.584	0	0.04	0.272	0.234	0.312	0.132	0	0.101	0	0.33	0	0.01	0	0	0	0.601	SRPN6	serine protease inhibitor (serpin) 6 [Source:VB Community Annotation]
AGAP010715	0.413	0.101	0.027	0	0	0.226	0.1	0.021	0	0.005	0.053	0.101	0.309	0.007	0.035	0.293	0.714	0.101	""	Anillin/rhotekin [Source:VB Community Annotation]
AGAP012239	0.413	0.723	0.011	0.385	0.019	0.614	0.471	0.974	0.748	0.564	0.152	0.33	0.049	0.112	0.012	0.007	0.168	0.084	""	""
AGAP001981	0.414	0.094	0.279	0.01	0	0.314	0	0	0	0.009	0	0	0	0	0	0.436	0	0	""	""
AGAP004736	0.414	0.511	0.053	0.745	0.206	0.384	0.61	0.12	0.02	0.513	0.786	0.366	0.648	0.379	0.6	0.232	0.283	0.5	""	mitochondrial GTPase 1 homolog [Source:VB Community Annotation]
AGAP010473	0.414	0.565	0.001	0.043	0.476	0.741	0.614	0.593	0.223	0.024	0.224	0.023	0.18	0.044	0.261	0.858	0.894	0.001	""	Pleckstrin-like proteiny domain-containing family G member 5 [Source:VB Community Annotation]
AGAP000774	0.415	0.414	0.302	0.653	0.032	0.689	0.042	0.739	0.639	0.009	0.058	0.01	0.031	0	0.001	0.929	0.939	0.154	""	PH and SEC7 domain-containing protein [Source:VB Community Annotation]
AGAP011911	0.415	0.858	0.378	0.001	0.008	0.524	0.332	0.008	0.008	0.932	0.039	0.697	0.009	0.513	0.039	0.06	0.745	0.002	""	F-box protein 39 [Source:VB Community Annotation]
AGAP005576	0.415	0.483	0.002	0	0	0.152	0.556	0.25	0.507	0.361	0.992	0.812	0.186	0.969	0.434	0.014	0.073	0.016	""	aspartyl-tRNA synthetase [Source:VB Community Annotation]
AGAP008716	0.415	0.034	0.039	0.009	0.001	0.005	0.066	0.001	0.011	0.121	0.566	0.438	0.952	0.122	0.482	0.054	0.167	0.001	""	""
AGAP006918	0.416	0.126	0.001	0	0.004	0.116	0.55	0.553	0.55	0.029	0	0.064	0	0.098	0	0.955	0.026	0	""	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 8 [Source:VB Community Annotation]
AGAP012438	0.416	0.715		0.826	0.465		0.725			0.913	0.674	0.908		0.858		0.429	0.792		""	""
AGAP004492	0.417	0.925	0	0.789	0.616	0.984	0.729	0.264	0.118	0.492	0.001	0.003	0	0.005	0	0	0.005	0.916	""	upstream activation factor subunit UAF30 [Source:VB Community Annotation]
AGAP005528	0.417	0.237	0.002	0.052	0	0.938	0.446	0.996	0.818	0.146	0	0.934	0.05	0.3	0.003	0.199	0.051	0.545	""	""
AGAP006977	0.417	0.974	0.349	0.086	0.124	0.036	0.008	0.593	0.938	0.431	0.231	0.404	0.196	0.025	0.021	0.22	0.027	0	""	""
AGAP003543	0.417	0.232	0	0.46	0.176	0.052	0.679	0.794	0.642	0.987	0.371	0.107	0.003	0.7	0.229	0.591	0.378	0	""	translation machinery-associated protein 16 [Source:VB Community Annotation]
AGAP005191	0.417	0.867	0	0.076	0.015	0.937	0.232	0.354	0.026	0.08	0.456	0.175	0.15	0.584	0.057	0.09	0.771	0	""	exosome complex exonuclease DIS3/RRP44 [Source:VB Community Annotation]
AGAP000992	0.418	0.572	0	0	0.345	0.37	0.053	0.962	0.863	0.186	0.292	0.915	0.001	0.623	0.033	0.155	0.475	0	""	""
AGAP009864	0.418	0.232	0.004	0.416	0	0.409	0.802	0.475	0.002	0.238	0.741	0.034	0.221	0.028	0.212	0.002	0	0	""	""
AGAP002499	0.418	0	0.946	0.025	0.002	0.42	0.61	0.467	0.652	0.253	0.302	0.108	0.167	0.197	0.24	0.022	0.001	0	""	methylmalonate-semialdehyde dehydrogenase (acylating), mitochondrial [Source:VB Community Annotation]
AGAP001629	0.418	0.25	0	0.353	0.324	0.961	0.749	0.667	0.223	0.959	0.023	0.467	0.126	0.674	0.271	0.226	0.358	0.001	""	""
AGAP006769	0.418	0.002	0.471	0.556	0.149	0.374	0.864	0.13	0.557	0.005	0.24	0.005	0.186	0.003	0.517		0.006	0.55	""	""
AGAP008045	0.418	0.221	0.1	0.394	0.785	0.734	0.937	0.859	0.746	0.774	0.725	0.866	0.83	0.247	0.2	0.995	0.291	0.016	""	transcription initiation factor TFIID subunit 13 [Source:VB Community Annotation]
AGAP009478	0.418	0.551	0	0.027	0.006	0.64	0.743	0.401	0.026	0.175	0	0.062	0	0.047	0	0.351	0	0.038	""	""
AGAP028469	0.418	0.774	0.114	0.347	0.393	0.7	0.621	0.992	0.579	0.746	0.094	0.846	0.059			0.001	0.558	0.004	""	""
AGAP001237	0.418	0.477	0.245	0.321	0	0.493	0.824	0.81	0.373	0.161	0.272	0.408	0.073	0.084	0.51	0.789	0.13	0.055	Med29	Mediator of RNA polymerase II transcription subunit 29 [Source:UniProtKB/Swiss-Prot;Acc:Q7PUD7]
AGAP009838	0.419	0.308	0.359	0.652	0.044	0.009	0.451	0.056	0.026	0.112	0.907	0.133	0.804	0.13	0.834	0.302	0.188	0	""	Non-imprinted in Prader-Willi/Angelman syndrome region protein 2-like protein [Source:VB Community Annotation]
AGAP002094	0.419	0.184	0.363	0.008	0.027	0.449	0.058	0.005	0	0.003	0.003	0.012	0.003	0.002	0.001	0.868	0.731	0.653	""	ancient conserved domain-containing protein 2 [Source:VB Community Annotation]
AGAP028445	0.419	0	0.889	0.04	0	0.868	0.577	0.676	0.477	0.663	0.054	0.333	0.025	0.502	0.576	0.115	0.032	0.666	""	""
AGAP012333	0.419	0.073	0.011	0	0.281	0.882	0.876	0.712	0.058	0.073	0.704	0.017	0.348	0.107	0.747	0.556	0.061	0.382	""	E3 ubiquitin-protein ligase RNF25 [Source:VB Community Annotation]
AGAP007827	0.419	0.091	0	0.002	0.083	0.064	0.763	0.305	0.338	0.215	0.001	0.095	0	0.396	0.003	0.002	0.015	0.774	Eno	enolase [Source:VB Community Annotation]
AGAP000285	0.42	0.69	0.571	0.001	0.011	0.792	0.189	0.627	0.857	0.263	0.358	0.049	0.663	0.002	0.376	0.295	0.015	0	""	""
AGAP001109	0.42	0.002	0.03	0.101	0.404	0.784	0.868	0.56	0.008	0.598	0.545	0.595	0.565	0.436	0.386	0.777	0.032	0.092	""	protein-tyrosine phosphatase [Source:VB Community Annotation]
AGAP002286	0.42	0.282	0.972	0.001	0.193	0.917	0.495	0.644	0.958	0.044	0.574	0.063	0.697	0.117	0.278	0.059	0.122	0.699	""	""
AGAP001387	0.42	0.454	0.337	0.001	0.318	0.39	0.111	0.872	0.727	0.841	0.175	0.685	0.175	0.163	0.99	0.267	0.375	0.111	""	""
AGAP003170	0.42	0.683	0.347	0.016	0.169	0.489	0.616	0.199	0.056	0.511	0.08	0.225	0.17	0.077	0.547	0.002	0.37	0	""	""
AGAP005234	0.42	0.004	0.714	0	0.331	0.803	0.743	0	0	0.02	0.014	0.004	0.003	0	0	0	0.92	0	CuSOD2	copper-zinc superoxide dismutase 2 [Source:VB Community Annotation]
AGAP004906	0.421	0.747	0.001	0	0.002	0.268	0.751	0.388	0.044	0.02	0	0.074	0	0.019	0	0.31	0.055	0.194	""	Mitochondrial pyruvate carrier [Source:UniProtKB/TrEMBL;Acc:Q7Q814]
AGAP008483	0.421	0.761	0.932	0.731	0.418	0.659	0.475	0.974	0.821	0.011	0.321	0.032	0.085	0.001	0.726	0.874	0.194	0	""	""
AGAP012504	0.421	0.616		0.659	0.762		0.366		0.324							0.86	0.828	0.445	""	""
AGAP010268	0.421	0.992	0.032	0.501	0.429	0.927	0.619	0.185	0.002	0.93	0.033	0.938	0.083	0.593	0.109	0.829	0.604	0	mRpS9	28S ribosomal protein S9, mitochondrial [Source:VB Community Annotation]
AGAP001603	0.421	0.831	0.245	0.003	0	0	0.335	0.005	0.928	0.664	0.851	0.848	0.488	0.125	0.583	0.013	0.463	0.03	""	mitochondrial 18 kDa protein [Source:VB Community Annotation]
AGAP002155	0.421	0.368	0.009	0.4	0.763	0.996	0.01	0	0.001	0.016	0.993	0	0.574	0.176	0.347	0.013	0.986	0	""	hepatocyte nuclear factor 4 [Source:VB Community Annotation]
AGAP010041	0.421	0.654	0.418	0.166	0.774	0.283	0.707	0.266	0.534	0.204	0.004	0.268	0.006	0.114	0.002	0.64	0.065	0.3	""	F-box and WD-40 domain protein 5 [Source:VB Community Annotation]
AGAP003182	0.422	0.056	0.029	0.13	0.474	0.926	0.905	0.818	0.759	0.481	0.037	0.214	0.007	0.299	0.019	0.207	0.188	0	""	antiviral helicase SKI2 [Source:VB Community Annotation]
AGAP008905	0.422	0.412	0.86	0.257	0.314	0.64	0.082	0.8	0.594	0.372	0.564	0.015	0.097	0.002	0.029	0.952	0.59	0.02	""	""
AGAP010766	0.422	0	0	0	0.089	0	0.485	0.001	0	0	0	0	0	0	0	0.554	0	0	""	""
AGAP009641	0.422	0.776	0.577	0.119	0.22	0.505	0.379	0.507	0.295	0.863	0.085	0.867	0.086	0.501	0.005	0.02	0.972	0	""	kelch-like protein diablo [Source:VB Community Annotation]
AGAP004418	0.422	0	0.006	0.012	0	0.39	0.004	0	0	0.974	0.211	0.433	0.137	0.927	0.041	0.904	0.777	0.813	""	""
AGAP002894	0.422	0.127		0.124	0.012	0.298	0.29		0.085	0	0	0	0	0.011	0.001	0.229	0.003	0	CYP6Z4	cytochrome P450 [Source:VB Community Annotation]
AGAP011091	0.422	0.154	0.42	0	0.646	0.006	0.253	0.346	0.259	0.005	0.549	0.02	0.554	0	0.969	0.065	0	0	""	""
AGAP005486	0.423	0.147	0.389	0.011	0.111	0.926	0.693	0.651	0.171	0.349	0.839	0.107	0.997	0.139	0.972	0.643	0.036	0.003	mRpL50	39S ribosomal protein L50, mitochondrial [Source:VB Community Annotation]
AGAP012301	0.423	0.016	0.602	0.187	0.122	0.246	0.076	0.1	0.17	0.342	0.715	0.957	0.114	0.857	0.261	0.256	0.855	0.019	""	N4-(beta-N-acetylglucosaminyl)-L-asparaginase [Source:VB Community Annotation]
AGAP001783	0.423	0.778	0.002	0.618	0.237	0.444	0.571	0	0	0.101	0.697	0.185	0.859	0.147	0.812	0.369	0	0	""	microtubule-severing ATPase [Source:VB Community Annotation]
AGAP003258	0.424	0.573			0.105		0.652				0.853					0.958	0.239	0.785	Gr19	gustatory receptor 19 [Source:VB Community Annotation]
AGAP001078	0.424	0.43		0.531	0					0.347	0.016	0.632	0.003		0	0.978	0.922	0.491	""	""
AGAP008706	0.424	0.333	0.026	0.148	0.432	0.264	0.464	0.124	0.005	0.18	0.002	0.186	0.003	0.038	0	0.355	0.794	0	""	protein zwilch [Source:VB Community Annotation]
AGAP011751	0.425	0.647	0.977	0.328	0.19	0.634	0.44	0.401	0.491	0.502	0.839	0.796	0.963	0.857	0.925	0.024	0.023	0.185	""	Sorting nexin-33 [Source:VB Community Annotation]
AGAP005054	0.425	0.463	0.668	0.475	0.122	0.029	0.704	0.583	0.244	0.148	0.815	0.136	0.676	0.047	0.934	0.231	0.055	0.045	""	""
AGAP007529	0.425	0.001	0.68	0.001	0.46	0.78	0.928	0.235	0.025	0.004	0.727	0	0.814	0.001	0.967	0.354	0.662	0	""	""
AGAP004709	0.425	0.015	0.001	0.055	0.567	0.49	0.243	0.916	0.967	0.708	0	0.856	0.001	0.836	0	0.906	0.767	0.5	mRpL18	39S ribosomal protein L18, mitochondrial [Source:VB Community Annotation]
AGAP000481	0.425	0.123	0.553	0	0	0.966	0	0	0	0.24	0	0.64	0.008	0.839	0.01	0	0.026	0.871	""	cyanogenic beta-glucosidase [Source:VB Community Annotation]
AGAP001156	0.426	0.276	0.352	0	0.194	0.051	0.153	0.488	0.483	0.595	0.028	1	0	0.978	0	0.161	0.003	0.02	""	""
AGAP000855	0.427	0.271	0.599	0.295	0	0.459	0.789	0.787	0.399	0.314	0.666	0.109	0.356	0.195	0.314	0	0.004	0	""	""
AGAP003166	0.427	0.483	0.39	0	0.001	0.006	0.003	0.132	0.278	0.003	0.944	0.001	0.877	0	0.824	0.001	0.258	0.561	""	""
AGAP000736	0.427	0.003	0.43	0.186	0.658	0.1	0	0.022	0.167	0.013	0.449	0.025	0.082	0.009	0.39	0.004	0.364	0	""	""
AGAP009680	0.427	0.608	0.002	0.013	0.171	0.853	0.992	0.807	0.801	0.331	0	0.806	0	0.655	0	0.942	0.004	0.175	""	""
AGAP000358	0.427	0.549	0.414	0	0	0.493	0.106	0.043	0	0.411	0.003	0.365	0.002	0.185	0	0.005	0.076	0	""	""
AGAP011744	0.427	0.954	0.68	0.233	0.001	1	0.638	0.143	0.037	0.005	0.061	0.003	0.036	0.247	0.593	0.009	0.002	0	""	tryptophanyl-tRNA synthetase [Source:VB Community Annotation]
AGAP012195	0.427	0.163	0.03	0.933	0.001	0.119	0.637	0.051	0.251	0.095	0.331	0.096	0.54	0.011	0.145	0.568	0.701	0	""	""
AGAP003154	0.429	0.181	0.409	0.345	0.456	0.95	0.283	0.298	0.14	0.586	0.457	0.601	0.073	0.797	0.309	0.3	0.19	0.255	""	Transcription elongation factor B polypeptide 2 [Source:VB Community Annotation]
AGAP013768	0.429	0.707	0.487	0.829	0.466	0.969	0.619		0.986	0.646	0.912	0.727	0.76	0.249	0.619	0.054	0.438	0.031	""	""
AGAP007597	0.429	0.856	0.267	0.292	0.924	0.875	0.452	0.685	0.7	0.833	0.32	0.611	0.143	0.699	0.25	0.706	0.124	0.923	""	""
AGAP005604	0.429	0.379	0.045	0.513	0.394	0.611	0.858	0.403	0.214	0.035	0.002	0.046	0	0	0.019	0.991	0.001	0.038	Med20	Mediator of RNA polymerase II transcription subunit 20 [Source:UniProtKB/Swiss-Prot;Acc:Q7Q6Y4]
AGAP013263	0.429	0.931	0.349	0.851	0.366	0.857	0.755	0.352	0.52	0.73	0.732	0.388	0.043	0.523	0.118	0.437	0.001	0.001	""	""
AGAP008053	0.429	0.199	0.131	0	0	0.801	0.634	0.887	0.734	0.95	0.44	0.67	0.217	0.581	0.206	0.047	0.853	0.155	""	sphingomyelin phosphodiesterase 2 [Source:VB Community Annotation]
AGAP008572	0.429	0.052	0.94	0.734	0.004	0.763	0.367	0.815	0.846	0.728	0.581	0.163	0.801	0.03	0.196	0.285	0.169	0.026	""	TIM21-like protein, mitochondrial precursor [Source:VB Community Annotation]
AGAP001948	0.429	0.813	0.022	0.164	0.457	0.48	0.031	0.528	0.248	0.697	0.063	0.341	0.011	0.313	0.01	0	0.196	0.215	""	suppressor of fused (Sufu) [Source:VB Community Annotation]
AGAP004639	0.429	0.199	0	0.002	0.801	0.38	0.034	0.005	0.027	0.093	0.889	0.218	0.451	0.144	0.956	0	0.008	0.239	""	""
AGAP007492	0.43	0.002	0	0.703	0.759	0.166	0.111	0.392	0.505	0.916	0	0.813	0	0.284	0	0.891	0.61	0.145	""	signal recognition particle subunit SRP9 [Source:VB Community Annotation]
AGAP001486	0.43	0.57	0.034	0.026	0.004	0.917	0.038	0	0	0.071	0.005	0.993	0	0.955	0	0.243	0.559	0	""	""
AGAP011425	0.431	0.285	0.418	0.426	0	0.904	0.542	0.764	0.836	0	0.792	0.011	0.1	0.002	0.241	0.734	0.997	0.742	""	structural maintenance of chromosome 2 [Source:VB Community Annotation]
AGAP005396	0.431	0.677	0	0.045	0.064	0.964	0.016	0.975	0.202	0	0.963	0	0.523	0	0.737	0	0	0	""	""
AGAP003324	0.431	0.712	0.055	0.011	0.108	0.09	0.005	0.001	0.003	0.559	0.321	0.592	0.322	0.686	0.956	0.91	0.746	0.042	""	NAD(P)H-hydrate epimerase [Source:VB Community Annotation]
AGAP009132	0.431	0.001	0.175	0	0.019	0.47	0.013	0.01	0	0.392	0.02	0.033	0	0.005	0	0.127	0.026	0	""	CKLF-like MARVEL transmembrane domain-containing protein 4 [Source:VB Community Annotation]
AGAP011968	0.431	0.124	0	0.062	0	0.23	0.023	0	0	0.699	0.982	0.359	0.115	0.256	0.089	0.015	0.06	0	IR76b	ionotropic receptor IR76b [Source:VB Community Annotation]
AGAP003337	0.431	0.585	0.724	0	0	0	0.183	0.599	0.853	0.025	0.001	0.028	0	0.044	0	0.478	0.621	0.001	""	""
AGAP028574	0.431	0.552	0.044	0.14	0.827	0.446	0.156	0.458	0.244	0.345	0.005	0.994	0.128	0.736	0.047	0.007	0.244	0.004	""	""
AGAP001893	0.431	0.326	0.032	0.003	0	0.889	0.865	0.612	0.211	0.838	0.861	0.919	0.962	0.783	0.815	0.002	0.028	0	""	""
AGAP004993	0.431	0.302	0.273	0	0	0.72	0	0	0	0	0.8	0	0.986	0.003	0.93	0.246	0.017	0	""	laminin subunit alpha [Source:VB Community Annotation]
AGAP005843	0.431	0.013	0.218	0.151	0.38	0.352	0.195	0.303	0.889	0.855	0.237	0.709	0.22	0.457	0.558	0.622	0.582	0.037	""	""
AGAP028409	0.432	0.72	0.29	0.389	0.005	0	0.89	0.949	0.906	0.693	0.346	0.004	0.905			0.748	0.291	0.7	""	""
AGAP007096	0.432	0.329	0.914	0.001	0.861	0.652	0.507	0.403	0.419	0.833	0.329	0.718	0.196	0.836	0.284	0.014	0.15	0	""	Ras-related protein Rab-43 [Source:VB Community Annotation]
AGAP010442	0.432	0.07	0.595	0.889	0.002	0.887	0.924	0.132	0.024	0	0.002	0.004	0.008	0	0	0.302	0.14	0.154	Fz2	frizzled 2 transmembrane receptor [Source:VB Community Annotation]
AGAP000106	0.432	0.957	0.3	0.771	0.347	0.065	0.003	0.001	0	0.21	0.068	0.032	0.006	0.199	0.065	0.924	0.004	0.002	""	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial [Source:UniProtKB/TrEMBL;Acc:Q7QER0]
AGAP012113	0.432	0.005	0.001	0.467	0	0.912	0.951	0.903	0.532	0.003	0.007	0.014	0.002	0		0.091	0	0.835	""	ubiquitin carboxyl-terminal hydrolase L3 [Source:VB Community Annotation]
AGAP000411	0.432	0.002	0.48	0	0		0.627	0.477	0.096	0.153	0.864	0.061	0.737	0.075	0.886	0	0.98	0	""	""
AGAP009479	0.433	0.403	0.054	0.196	0.78	0.765	0.868	0.06	0.189	0.576	0.266	0.381	0.007	0.844	0.117	0	0.092	0	""	""
AGAP007893	0.433	0.277	0.012	0.013	0.146	0.249	0.001	0.115	0.246	0.899	0.256	0.368	0.021	0.464	0.017	0.987	0.061	0.003	""	Protein FAM36A [Source:VB Community Annotation]
AGAP000421	0.433	0.897			0.536		0.482		0.743	0.767	0	0.65	0	0.975	0.003	0.906	0.725	0.045	""	""
AGAP000714	0.433	0.566		0.101					0.124	0.845	0.958	0.982	0.818	0.936		0.66	0.535	0.05	IR7n	ionotropic receptor IR7n [Source:VB Community Annotation]
AGAP006268	0.433	0.022	0.507	0.984	0.53	0.067	0.185	0	0.002	0.007	0.002	0.358	0.236	0.053	0.023	0.727	0.33	0	""	""
AGAP007861	0.433	0.828	0.352	0.173	0.011	0.144	0.635	0.568	0.435	0.886	0.437	0.949	0.565		0.403	0.106	0.304	0.049	""	""
AGAP006662	0.433	0.268	0.064	0	0.265	0.83	0.201	0.907	0.715	0.131	0.791	0.154	0.811	0.013	0.577	0.693	0.995	0	""	""
AGAP004295	0.433	0.833	0.003	0.002	0.077	0.655	0.216	0.4	0.49	0.201	0.001	0.545	0	0.045	0.005	0.162	0.013	0	""	DTW domain-containing protein 1 [Source:VB Community Annotation]
AGAP003096	0.434	0.779	0.202	0.34	0	0.321	0.992	0.29	0.513	0.885	0.569	0.401	0.539	0.148	0.232	0	0.281	0	""	yellow protein [Source:VB Community Annotation]
AGAP005000	0.434	0.169	0.071	0.757	0.2	0.704	0.869	0.28	0.205	0.146	0.232	0.965	0.998	0.883	0.842	0.014	0.61	0	""	""
AGAP005100	0.434	0.046	0.945	0.412	0.505	0.769	0.449	0.896	0.795	0.256	0.081	0.379	0.046	0.339	0.01	0.886	0.485	0.24	""	charged multivesicular body protein 5 [Source:VB Community Annotation]
AGAP005393	0.434	0.922	0.001	0	0	0.165	0.024	0.603	0.52	0.167	0.003	0.638	0.442	0.111	0.004	0.333	0.968	0.34	""	Ras-related protein Rab-2A [Source:VB Community Annotation]
AGAP009650	0.434	0.308	0.167	0.003	0.065	0.874	0.975	0.896	0.493	0.808	0.715	1	0.896	0.296	0.261	0.976	0.327	0.857	""	YEATS domain-containing protein 4 [Source:VB Community Annotation]
AGAP008162	0.434	0.25	0.129	0.508	0.626	0.25	0.598	0.885	0.858	0.228	0.232	0.047	0.339	0.032	0.997	0.619	0.919	0.042	""	SNARE-associated protein Snapin [Source:VB Community Annotation]
AGAP029156	0.434					0.574	0.43		0.884							0.743	0.777		""	""
AGAP001025	0.434	0.003	0.023	0.137	0.001	0.001	0.03	0	0	0.087	0.492	0.07	0.527	0.403	0.859	0	0.086	0	""	protein msta, isoform A [Source:VB Community Annotation]
AGAP008214	0.434	0.769	0	0.066	0.988	0	0.001	0	0	0	0	0	0	0	0	0	0	0	CYP6M4	cytochrome P450 [Source:VB Community Annotation]
AGAP006462	0.434	0.947	0.201	0	0.218	0.67	0.232	0.255	0.401	0.317	0.033	0.402	0.039	0.29	0.039	0.957	0.427	0	""	ADP-ribosylation factor GTPase-activating protein 1 [Source:VB Community Annotation]
AGAP012522	0.434	0.491	0.231	0.703	0.647	0.855	0.308	0.036	0.128	0.21	0	0.485	0.04	0.151	0.062	0	0.013	0	""	""
AGAP009335	0.435	0.886	0.847	0.292	0.539	0.375	0.272	0.663	0.865	0.324	0.302	0.058	0.054	0.085	0.076	0.123	0.782	0.015	""	F-box and leucine-rich repeat protein 15 [Source:VB Community Annotation]
AGAP007143	0.435	0.33	0.36	0.108	0.989	0.693	0.62	0.238	0.582	0.935	0.548	0.899	0.479	0.941	0.613	0.952	0.629	0	""	""
AGAP005474	0.436	0.648	0.801	0.397	0.872	0.661	0.921	0.306	0.633	0.675	0.009	0.308	0.001	0.844	0.017	0.74	0.92	0.217	""	""
AGAP001030	0.436	0.637	0.006	0.008	0.265	0.34	0.119	0.021	0.017	0.001	0.234	0	0.191	0.01	0.26	0	0.031	0.202	""	""
AGAP008398	0.436	0.006	0.646	0.031	0.264	0.892	0.881	0.706	0.914	0.372	0.864	0.095	0.56	0.091	0.574	0.034	0.387	0.098	OBP21	odorant-binding protein 21 [Source:VB Community Annotation]
AGAP002218	0.436	0.137	0.001	0.002	0.187	0.838	0.694	0.731	0.377	0.136	0.001	0.41	0.014	0.383	0.007	0.595	0.038	0.888	mRpL47	39S ribosomal protein L47, mitochondrial [Source:VB Community Annotation]
AGAP008641	0.436	0.152	0.418	0.011	0.003	0.091	0.435	0.013	0	0.321	0.001	0.015	0.038	0.047	0.022	0.071	0.777	0.556	""	""
AGAP001227	0.436	0.865	0.263	0.324	0.019	0.78	0.98	0.973	0.857	0.062	0.821	0.024	0.851	0.073	0.867	0.197	0.001	0.702	""	gamma-tubulin complex component 5 [Source:VB Community Annotation]
AGAP005521	0.436	0	0.989	0.298	0.072	0.415	0.894	0.381	0.024	0.629	0.088	0.7	0.503	0.804	0.301	0.939	0.058	0	""	serine/threonine kinase 38 [Source:VB Community Annotation]
AGAP013220	0.436	0.021	0.201	0.001	0.603	0.042	0.696	0.041	0.054	0.048	0.065	0.042	0.04	0.021	0.027	0.547	0.037	0.744	""	small VCP/p97-interacting protein [Source:VB Community Annotation]
AGAP002235	0.437	0.445	0.283	0.361	0.008	0.026	0.065	0	0	0.006	0.081	0.169	0.012	0.187	0.011	0.032	0	0	""	GATA-binding protein 4/5/6 [Source:VB Community Annotation]
AGAP005801	0.437	0.106	0.008	0.093	0.001	0.241	0.027	0.185	0.16	0.011	0.315	0.004	0.316	0.258	0.008	0.588	0.013	0.002	""	""
AGAP001310	0.437	0.485	0.27	0	0.078	0.138	0.457	0.083	0.113	0.003	0	0.024	0	0.035	0.001	0.864	0.015	0	""	Protein-S-isoprenylcysteine O-methyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7PXA7]
AGAP001557	0.437	0	0.651	0	0	0.288	0.922	0.135	0.381	0.289	0.007	0.225	0.003	0.014	0	0	0	0.001	""	solute carrier family 12 (sodium/potassium/chloride transporter), member 2 [Source:VB Community Annotation]
AGAP007741	0.437	0.115	0.105	0.014	0.161	0.74	0.245	0.171	0.319	0.476	0.535	0.235	0.263	0.171	0.231	0.912	0.048	0.528	""	ribonuclease H2 subunit A [Source:VB Community Annotation]
AGAP003228	0.437	0	0.381	0	0.099	0.884	0.823	0.751	0.685	0.747	0	0.16	0	0.348	0	0.06	0	0	""	histone acetyltransferase type B subunit 2 [Source:VB Community Annotation]
AGAP010112	0.437	0.541		0.435	0.197											0.041	0.651	0.614	CPR92	cuticular protein RR-2 family 92 [Source:VB Community Annotation]
AGAP028078	0.437	0.232		0.27	0.44		0.732									0.395	0.354	0.002	""	""
AGAP011252	0.438	0.166	0.755	0	0.109	0.832	0.398	0.981	0.702	0.691	0.012	0.64	0.003	0.097	0.027	0.696	0	0	""	""
AGAP000652	0.438	0.827	0.807	0.597	0.431	0.451	0.614	0.467	0.568	0.453	0.078	0.651	0.001	0.892	0.029	0.093	0.209	0.041	mRpL38	39S ribosomal protein L38, mitochondrial [Source:VB Community Annotation]
AGAP004448	0.438	0.084	0.414	0.381	0.955	0.925	0.76	0.939	0.307	0.039	0.863	0.031	0.865	0.001	0.322	0.083	0.933	0	""	segment polarity protein dishevelled [Source:VB Community Annotation]
AGAP001931	0.439	0.045	0.019	0.582	0.055	0.259	0.67		0.715	0.556	0.616	0.642	0.707	0.638	0.73	0.002	0.054	0.002	""	Six-cysteine containing astacin protease 3 [Source:VB Community Annotation]
AGAP003936	0.439	0.428	0.038	0.015	0.133	0.333	0.169	0.853	0.764	0.473	0.056	0.044	0.347	0.008	0.514	0.331	0.066	0.775	""	small nuclear ribonucleoprotein D2 [Source:VB Community Annotation]
AGAP007717	0.439	0.118	0.279	0	0.99	0.203	0.136	0	0	0.29	0.006	0.134	0	0.306	0.008	0.519	0.248	0.083	""	""
AGAP007839	0.439	0.866	0.559	0.72	0.965	0.259	0.514	0.323	0.118	0.822	0.22	0.508	0.045	0.457	0.065	0.777	0.24	0.032	""	""
AGAP003806	0.439	0.97	0.387	0	0.767	0.868	0.001	0.001	0	0.955	0.002	0.755	0	0.709	0.011	0.237	0	0	""	pseudouridine-5'-phosphate glycosidase [Source:VB Community Annotation]
AGAP010808	0.44	0.005	0.506	0.647	0.001	0.01	0.002	0.008	0.113	0.074	0.09	0.28	0.007			0.146	0	0.094	""	""
AGAP028446	0.44	0.735	0.27	0.787	0.001	0.81	0.942	0.232	0.319	0.705	0.914	0.31	0.079	0.401	0.14	0.381	0.376	0.003	""	""
AGAP001111	0.44	0.856	0.001	0.825	0	0.734	0.075	0.026	0	0.2	0.003	0.047	0.001	0.68	0.407	0.895	0	0.142	""	""
AGAP013332	0.44	0.576		0.048	0.274	0.331	0.028	0.489	0.675			0.935				0.001	0.694	0.791	""	""
