GeneID	Tiefora_v_NG_log2FoldChange	Gou_v_Moz_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kis_log2FoldChange	VK7_v_Kis_log2FoldChange	Cameroon_v_NG_log2FoldChange	Chad_v_NG_log2FoldChange	Niger_v_NG_log2FoldChange	Nigeria_v_NG_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_NG_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_NG_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_NG_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	Bouake_gamb_exp_v_Bouake_Ki_log2FoldChange	Bouake_gamb_unexp_v_Bouake_Ki_log2FoldChange	Bouake_col_exp_v_Bouake_Ng_log2FoldChange	Bouake_col_unexp_v_Bouake_Ng_log2FoldChange	ContTia_v_CDI_Ng_log2FoldChange	DeltTia_v_CDI_Ng_log2FoldChange	MalaTia_v_CDI_Ng_log2FoldChange	PiriTia_v_CDI_Ng_log2FoldChange	BusiaParental_v_Kisumu_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	GeneName	GeneDescription
AGAP006948	-0.16	0.11	-0.34	0.34	-0.01	-0.24	-0.28	0.25	0.21	0.18	0.18	0.15	-0.2	-0.24	-0.28	-0.31	-0.16	-0.04	0.08	-0.02	0.22	-0.24	0	-0.21	0.29	-0.36	-0.38	-0.16	-0.42	-0.3	-0.3	-0.09	-0.26	-0.37	-0.06	""	tubulin polymerization-promoting protein [Source:VB Community Annotation]
AGAP004313	1.33	1.28	1.23	1.74	-1.15	-0.51	2.51	2.68	1.63	2.02	-3.29	-1.7	0.86	2.45	1.57	3.15	-1.32	-1.16	-1.51	-2	-1.73	1.64	1	1.5	0.12	-0.77	-0.93	2.51	2.91	3.46	3.75	2.86	4.43	-0.7	-0.5	Gr54	gustatory receptor 54 [Source:VB Community Annotation]
AGAP001894	0.33	0.08	0.37	-0.26	0.24	0.2	-0.06	-0.35	-0.28	-0.17	-0.13	0.48	-0.01	0.6	0.57	1.18	-0.51	-0.48	-0.38	-0.31	-0.59	-0.43	-0.13	-0.4	0.7	0.11	0.33	0.11	0.34	1	1.23	0.95	1.07	-0.71	-1.09	""	arrestin domain-containing protein 3 [Source:VB Community Annotation]
AGAP000950	-0.2	-0.1	-0.06	-0.19	0.27	0.06	0.05	0	-0.17	-0.24	-0.07	-0.7	-0.2	-0.84	-0.14	-0.77	-0.37	-0.1	-0.25	-0.18	-0.29	-0.18	0.01	-0.33	-1.25	0	0.28	0.04	-0.27	-1.31	-0.71	-1.19	-1.24	-0.19	0.05	mRpL9	39S ribosomal protein L9, mitochondrial [Source:VB Community Annotation]
AGAP002943	0.16	-0.4	0.36	0	-0.11	-0.07	-0.06	-0.4	-1.2	-0.94	-0.1	-0.32	0.19	-0.04	0.18	-0.04	-0.16	-0.46	0.18	-0.08	-0.03	-0.21	-0.43	0.05	-0.74	-0.48	-0.33	0.29	0.05	-0.48	-0.02	-0.79	-0.47	-0.3	-0.45	""	NAD-dependent deacetylase sirtuin 2 [Source:VB Community Annotation]
AGAP003229	0.4	0.41	0.06	-0.48	0.14	-0.05	0.14	-0.01	0.09	0.08	0.1	0.81	0.11	0.8	-0.03	0.67	-0.36	-0.54	-0.1	-0.52	-0.18	-0.02	-0.13	0.08	0.86	0.42	0.31	0.52	0.74	0.98	1.34	1.04	1.11	0.24	0.12	""	""
AGAP012841	1.57	-0.28	0.44	0.67	-1.47	0.04	2.71	2.01	2.11	1.8	0.4	-1.05	0.22	-1.24	0.39	-1.06	0.01	-0.19	-0.05	0.67	-0.03	-0.03	-0.04	0.16	0.22	-3.58	-3.31	-0.68	-1.82	-1.78	-3.2	-1.51	-2.29	-0.19	1.54	""	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2B [Source:VB Community Annotation]
AGAP001236	0.49	-0.97	0.29	0.71	-0.62	-0.63	-0.56	-0.44	-1.4	-1.54	0.3	0.35	0.01	0.05	0.16	0.21	-0.79	0.6	-0.46	-0.52	-0.67	-0.53	-0.33	-0.89	0.67	0.51	1.06	-0.11	-0.85	-0.44	-0.13	-1.08	-0.6	-0.02	-0.76	""	Sugar transporter ERD6-like 6 [Source:VB Community Annotation]
AGAP005021	0.21	-0.19	0.13	-0.08	0.05	0.1	-0.12	-0.29	-0.23	-0.27	0.07	0.1	0.13	0.15	0.18	0.21	-0.17	-0.43	-0.01	0	-0.02	0.23	0.15	0.25	0.13	0.27	0.37	0.13	0.14	-0.09	0.2	-0.3	-0.1	-0.5	-0.51	""	Transcription elongation factor SPT5 [Source:UniProtKB/TrEMBL;Acc:A0NE83]
AGAP010353	0.4	0.6	-0.44	-1.03	-0.02	-0.15	-0.15	-0.55	-0.45	-0.14	-0.2	0.17	0.02	0.38	0.25	0.62	-0.49	-0.51	-0.4	-0.48	-0.54	0.05	0.04	-0.06	1.01	0.11	-0.02	0.13	0.39	0.81	1.24	0.7	0.86	0.15	-0.45	""	DNA cross-link repair 1A protein [Source:VB Community Annotation]
AGAP003147	0.36	0.02	-0.1	-0.12	-0.39	-0.33	-0.11	-0.05	-0.11	-0.11	-0.07	0.07	-0.29	-0.16	-0.28	-0.15	-0.63	-0.47	-0.27	-0.55	-0.47	-0.01	-0.05	-0.02	-0.39	-0.08	-0.33	0.25	-0.03	-0.14	-0.05	-0.01	-0.12	0.2	-0.09	""	Golgin84 [Source:VB Community Annotation]
AGAP001171	-1.76	-0.62	-0.34	1.21	-0.04	2.48	-1.98	-0.86	-1.31	-0.06	3.31	1.15	1.78	-0.38	1.83	-0.32	-0.82	-0.46	-1.2	-1.24	-1.24	-0.36	0.75	0.36	0.7	-0.47	-0.76	-1.42	-1.31	1.03	-0.06	-0.41	2.02	-0.31	1.01	Gr50	gustatory receptor 50 [Source:VB Community Annotation]
AGAP007257	0.21	0.03	0.1	-0.24	-0.13	-0.33	-0.41	-0.39	0.36	0.17	0.42	1.08	0.73	1.39	0.93	1.58	0.41	-0.1	0.33	0.25	0.1	-1.05	-0.44	-0.48	0.01	-0.31	-0.17	-0.11	0.14	0.89	-0.17	0.6	0.86	-0.22	-0.34	""	""
AGAP002279	0.73	-0.39	0.36	0	-0.06	0.53	-0.33	-0.85	-2.19	-2.73	1.35	0.99	0.29	-0.08	0.5	0.13	-0.23	0.38	0.34	0.24	-0.85	-0.09	0.81	-0.26	-0.71	0.77	0.4	1.28	1.31	0.54	0.4	0.65	0.8	-0.1	0.54	""	Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:Q7QKD9]
AGAP010515	0.28	-0.01	0.3	-0.02	-0.46	-0.46	-0.28	-0.13	-0.24	-0.25	-0.49	-0.44	-0.52	-0.48	-0.49	-0.44	-0.51	-0.54	-0.1	-0.29	-0.31	0.14	-0.09	0.12	-0.65	-0.46	-0.46	0.23	-0.14	-0.61	-0.4	-0.63	-0.41	-0.48	-0.72	""	pre-mRNA-splicing factor SYF2 [Source:VB Community Annotation]
AGAP010870	-0.24	-0.54	0.28	0.25	-0.91	-0.24	-0.25	-0.83	-1.09	-0.64	0.2	-1.13	0.14	-1.19	0.12	-1.21	0.09	0.22	0.31	0.28	0.24	-0.1	-0.33	-0.17	-0.5	-0.33	-0.15	0.23	-0.24	-0.57	-0.4	-0.29	-0.29	-0.56	-1.06	""	solute carrier family 27 (fatty acid transporter), member 1/4 [Source:VB Community Annotation]
AGAP002877	1.92	-1.69	1.19	1.16	0.67	-0.2	0.54	0.23	-0.05	-0.78	0.11	0.19	-0.32	-0.24	-1.01	-0.93	-3.8	-0.35	-0.67	-0.96	-0.13	1.08	1.14	0.48	-0.5	0.1	0.17	0.3	0.56	0.85	0.38	0.91	-0.11	0.19	0.11	""	Tetratricopeptide repeat protein 30 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7PRA4]
AGAP010436	-0.26	-0.03	-0.24	0.38	-0.12	-0.75	-0.57	-0.28	0.07	0.2	0.11	-0.49	-0.03	-0.63	0.04	-0.56	0.02	0.15	0.23	0.34	0.18	0.76	0.18	0.19	0.71	-0.52	-0.38	-0.36	-0.96	-0.71	-0.76	-0.52	-0.61	0.04	0.13	""	adenylate cyclase 2 [Source:VB Community Annotation]
AGAP011777	-0.18	0.25	-0.32	-0.3	0.97	0.43	-0.11	0.2	-0.04	-0.21	-0.1	-0.15	-0.13	-0.18	-0.04	-0.08	0	0.46	-0.21	0.25	-0.1	0.61	0.36	0.61	-0.71	0.06	0.07	-0.28	-0.22	0.08	0.27	0.07	0.08	-0.06	0.31	RpSA	40S ribosomal protein SA [Source:UniProtKB/Swiss-Prot;Acc:Q7PZ81]
AGAP028668	0.51	0.07	0.05	-0.41	-0.06	-0.09	-0.91	-0.43	-0.52	-0.75	0.17	1.16	0.17	1.16	0.36	1.36	-0.89	-1.12	-0.75	-0.79	-0.68	0.43	-0.08	0.06	0.11	0.38	-0.11	0.75	0.38	0.61	0.88	0.9	0.79	-0.24	-0.64	""	""
AGAP000156	0.36	-0.23	-0.01	0.81	-0.29	-0.22	0.33	0.15	0.59	0.69	0.15	-0.19	0.14	-0.21	-0.15	-0.5	0.56	0.51	0.65	0.53	0.53	0.41	0.36	0.05	-0.22	-0.41	-0.4	0.39	0.26	0.2	-0.32	0.33	0.37	0.53	1.27	""	""
AGAP009670	0.21	0.31	0.27	-0.21	0.02	0.37	-0.55	-0.9	-1.36	-1.26	0.05	0.39	0.09	0.43	0.13	0.48	0.22	0.12	0.38	0.26	0.24	-0.11	-0.05	0.04	-0.25	0.68	0.36	-0.04	0.2	0.93	1.01	0.77	0.95	0.1	-0.25	SRPN4	serine protease inhibitor (serpin) 4 [Source:VB Community Annotation]
AGAP005812	0.49	1.34	0.24	-0.68	0.17	0.22	0.49	0.23	0.42	0.21	-0.88	0.45	-0.54	0.79	-0.87	0.45	-1.05	-0.75	-0.83	-0.81	-0.9	0.67	0.35	0.7	0.99	0.78	0.4	0	0.25	0.81	1.24	1.06	0.86	0.18	-0.57	""	""
AGAP010476	0.19	0.28	0.06	-0.28	-0.26	-0.14	0.01	-0.36	-0.07	-0.21	-0.06	0.26	0.14	0.45	0.12	0.43	-0.41	-0.43	-0.22	-0.28	-0.38	-0.01	0.03	0.07	-0.52	0.15	0.07	0.35	0.47	0.69	1	0.85	0.75	-0.07	-0.42	""	alpha-endosulfine [Source:VB Community Annotation]
AGAP003606	-0.48	0.59	0.16	0.42	-0.64	-0.51	0.64	0.14	-1.41	-0.97	-0.22	0.03	-0.61	-0.36	-0.54	-0.29	0.31	0.14	0.22	-0.04	0.36	-0.09	0.01	0.12	-0.36	-0.22	0.78	0.09	0.52	-0.2	-1.04	-1.18	-1.1	0.08	-0.04	""	Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:Q7QAN6]
AGAP004383	-2.42	-2.87	2.37	2.95	-0.86	1.79	-0.45	-0.72	-0.72	-2.05	-1.02	-1.52	-0.21	-0.73	-1.54	-2.06	-0.89	-0.61	-2.02	-1.31	-1.13	-4.15	-3.03	-3.54	-4.96	1.89	2.37	-1.01	-0.31	-0.53	-0.76	-2.55	0.08	-0.98	-0.24	GSTD10	glutathione S-transferase delta class 10 [Source:VB Community Annotation]
AGAP005064	0.47	2.8	0.19	-0.38	0	0.59	0.17	0.17	0.22	0.53	-0.79	0.47	-0.67	0.58	-0.68	0.58	-0.32	-0.77	-0.7	-0.71	-0.72	1.9	1.43	1.93	2.11	0.26	0.66	0.44	0.92	1.32	0.25	1.25	1.19	-0.54	-0.74	""	""
AGAP001790	0.47	-0.61	0.51	-0.18	0.71	0.29	-0.09	-0.44	-0.05	-0.13	1.69	1.53	1.79	1.63	2.07	1.92	0.1	0.12	0.22	0.18	0.12	-0.51	0.09	-0.01	-0.18	0.22	1.11	-0.16	-0.37	0.75	1.08	0.17	1.14	0.75	0.16	""	p21-activated kinase 1 [Source:VB Community Annotation]
AGAP008228	0.25	-0.69	0.08	0.01	-0.6	-0.54	0.21	-0.47	-0.68	-0.67	0.21	-0.6	-0.02	-0.83	-0.01	-0.83	0.41	0.47	0.72	0.49	0.8	-0.78	-0.87	-0.87	0.46	-0.37	-0.25	0.21	-0.57	-2.05	-1.07	-1.81	-2.14	-0.36	-0.63	""	dual specificity phosphatase [Source:VB Community Annotation]
AGAP011054	-0.2	0.69	0.03	-0.49	0.22	0.16	-0.26	-0.43	-0.57	-0.7	0.71	2.16	0.89	2.33	0.74	2.18	0.04	0.13	0.44	0.72	0.37	-0.32	0.05	0.27	0.53	0.69	0.46	0.37	0.79	2.27	2.1	1.99	2.33	0.14	-0.37	TPX2	thioredoxin peroxidase 2 [Source:VB Community Annotation]
AGAP005646	-0.3	0.56	0.18	-0.04	0	0.18	-0.03	0.14	-0.22	-0.18	0.1	0.07	0.18	0.14	0.14	0.1	-0.16	-0.23	-0.35	-0.37	-0.26	-0.5	-0.75	-0.38	0.8	0.06	-0.34	-0.03	0.11	-0.24	0	-0.28	-0.04	-0.58	-0.6	""	""
AGAP010451	-0.2	0.17	-0.07	-0.26	0.19	0.73	0.07	-0.06	-1.17	-0.74							-0.08	-0.16	-0.06	-0.07	-0.08	-0.44	-0.16	0.3	0.37	0.48	1.19	-0.23	0.31	-0.07	0.4	-1.04	-0.46	0.17	-0.46	""	Lon-like ATP-dependent protease [Source:VB Community Annotation]
AGAP010141	-1.64	0.5	0.82	-0.87	0.3	0.48	-0.06	-0.53	-0.95	-0.67	0.52	-0.64	0.74	-0.42	0.58	-0.56	-0.08	1.39	0.8	-0.25	0.65	-0.35	-0.44	-0.24	-0.39	0.15	-0.03	0.2	-0.1	-1.28	-0.47	-1.45	-1.35	0.06	-0.59	""	DnaJ homolog subfamily C member 4 [Source:VB Community Annotation]
AGAP028730	-0.19	-0.18	-0.27	0.18	-0.23	-0.24	0.03	-0.3	-0.51	-0.36	0.21	-0.06	0.22	-0.06	0.21	-0.06	0.47	0.41	0.53	0.55	0.64	-0.1	-0.47	-0.29	-0.35	-0.25	-0.18	0.06	-0.09	-1.19	-0.45	-0.81	-1.02	0.32	0.28	""	""
AGAP012362	0.29	0.45	0.34	-0.2	-0.07	0.05	-0.05	-0.08	0.2	0.06	0.11	0.68	0.13	0.69	0.32	0.89	-0.02	0.29	-0.21	-0.03	-0.1	0.23	-0.07	0.35	0.51	0.25	-0.05	-0.21	0.13	1.29	1.43	1.03	1.18	-0.39	-0.51	""	nuclear pore complex protein Nup85 [Source:VB Community Annotation]
AGAP008078	0.24	-0.1	0.28	-0.05	0.06	0.16	-0.12	-0.26	-0.07	-0.04	0.03	0.3	0.1	0.36	0.15	0.42	-0.57	-0.45	0.01	-0.08	-0.09	0.14	0.11	0.13	-0.11	0.31	0.34	0.29	0.29	0.57	0.88	0.63	0.7	-0.06	-0.42	""	DET1- and DDB1-associated protein 1 [Source:VB Community Annotation]
AGAP007374	0.42	-0.06	0.63	-0.14	0.38	-0.21	-0.43	-0.66	-1.45	-2.08	-2.29	-0.84	-2.43	-0.99	-2.39	-0.93	0.04	0.07	-0.42	0.21	0.05	-0.48	-1.08	-0.47	-0.93	1.13	0.94	0.62	0.44	-1.39	-0.77	-1.6	-1.58	-0.03	0.12	""	glucuronosyltransferase [Source:VB Community Annotation]
AGAP009991	0.27	-1.35	0.32	1.51	-0.3	0.92	0.81	1.36	0.84	0.62	1.88	-0.87	1.79	-0.97	0.02	-2.73	0.69	0.77	0.97	0.32	0.51	0.88	0.67	0.96	-0.09	0.38	0.28	1.62	1.3	0.87	0.95	0.99	1.32	-1.01	-0.9	""	Cyclophilin B precursor [Source:VB Community Annotation]
AGAP003846	-0.84	0.59	1.22	0.64	-1.33	-0.82	-1.72	-0.27	-0.12	0.4	-1.49	-0.57	-1.57	-0.66	-1.56	-0.64	1.77	0.66	0.81	0.59	1	-0.06	-0.17	0.17	-0.08	-0.98	-1.34	-0.73	-0.04	1.28	0.55	0.81	1.2	-0.5	-0.36	""	secretory phospholipase A2 [Source:VB Community Annotation]
AGAP001151	0.16	0.24	0.01	-0.07	0.07	-0.02	0.04	-0.03	0.16	0.18	-0.15	0.16	-0.1	0.2	-0.14	0.17	-0.08	-0.01	0.24	0.15	0.2	0.08	0.12	0.22	-0.56	0.19	0.44	0.38	0.19	0.3	0.57	0.45	0.5	0.2	-0.2	""	14-3-3 protein epsilon [Source:VB Community Annotation]
AGAP003408	-0.39	0.21	-0.12	-0.35	-0.35	-0.21	-0.49	-0.38	-0.67	-0.81	0.98	1.1	0.76	0.87	-0.01	0.1	0.18	0.41	0.38	0.19	0.11	-0.45	-0.44	-0.38	1.03	-0.13	-0.28	-0.24	0.22	0.72	0.91	1	0.9	0.07	0.35	""	aldose reductase [Source:VB Community Annotation]
AGAP003192	-0.19	-0.16	-0.04	0.23	-0.03	0.13	-0.08	-0.21	-0.21	-0.2	0.25	-0.06	0.18	-0.14	-0.05	-0.37	0.03	-0.02	0.29	0.11	0.27	-0.39	-0.39	-0.25	-0.34	-0.22	-0.08	-0.15	-0.2	-0.12	0.07	-0.26	-0.14	-0.03	-0.06	""	alpha-soluble NSF attachment protein [Source:VB Community Annotation]
AGAP004247	-0.19	0.1	0.11	-0.04	-0.4	-0.16	0.05	0	-0.36	-0.44	-0.6	-0.65	-0.54	-0.6	-0.91	-0.96	0.11	0.11	0.12	0.17	0.36	0.28	0.46	0.29	-0.04	-0.35	-0.32	0.03	-0.2	-1.15	-0.89	-1.36	-1.38	0.22	0.21	GPXH1	glutathione peroxidase 1 [Source:VB Community Annotation]
AGAP000351	-0.54	-0.28	-0.07	0.81	0.08	0.36	-0.72	-0.59	-0.16	-0.27	0.82	-0.69	0.63	-0.89	0.65	-0.87	0.34	0.3	0.1	-0.05	0.2	1.13	0.27	0.24	0.67	-0.5	-0.3	-0.68	-0.51	0.51	-0.36	0.27	0.61	0	0.13	GPRNPY1	""
AGAP000357	0.32	1.5	-1.21	0.13	-0.19	-0.33	0.43	0.6	0.61	0.65	-1.03	-1.62	-1.22	-1.82	-1.13	-1.72	-0.43	-0.58	-0.46	-0.73	0.41	2.1	1.41	1.95	0.77	-0.91	-1	-0.63	0.03	-0.28	0.39	0.69	-0.06	0.13	1.57	""	E3 ubiquitin-protein ligase ZNRF1/2 [Source:VB Community Annotation]
AGAP008095	-0.69	-0.89	0.03	0.73	1.02	0.7	0.23	0.6	0.38	0.99	0.29	-1.18	0.11	-1.37	0.44	-1.02	-0.79	-0.31	-1.02	-1.06	-0.78	0.44	-0.16	-0.03	-0.51	0.24	0.6	-0.5	-0.28	1.33	0.23	0.81	0.54	-0.4	0.58	""	""
AGAP002554	-0.33	-0.57	0.32	0.67	0.11	-0.04	0.07	0.34	0.15	0.37	0.17	0.04	0.01	-0.13	0.31	0.17	-0.19	-0.06	-0.14	-0.17	-0.18	0.17	-0.05	0.48	-0.04	-0.25	0.17	-0.07	0.08	0.55	0.19	0.02	0.44	0.42	0.53	""	DiGeorge syndrome critical region gene 8 [Source:VB Community Annotation]
AGAP001311	-0.28	0.4	0.18	-0.39	-0.31	-0.33	-0.25	-0.03	-0.4	-0.53	-0.42	0.01	-0.44	-0.01	-0.54	-0.1	-0.28	-0.19	-0.19	-0.32	-0.07	0.07	0.08	0.14	-0.62	-0.39	-0.25	-0.3	-0.44	-0.92	-0.58	-0.85	-0.79	-0.06	-0.14	mRpL20	39S ribosomal protein L20, mitochondrial [Source:VB Community Annotation]
AGAP005457	1.21	3.28	-0.06	-1.8	3.17	1.52	-0.87	0.62	1.06	0.79	3.67	-0.53	2.62	-1.58	2.16	-2.03	0.28	0.89	-0.1	-0.25	0.49	-3.2	-2.03	-3.99	0.43	-0.76	-0.1	-5.76	-5.05	-5.09	-2.34	-4.07	-5.16	0.96	-1.57	""	Ser/Thr protein phosphatase/nucleotidase [Source:VB Community Annotation]
AGAP008907	0.21	0.41	0.02	-0.35	0	0.02	0.05	-0.47	-0.31	-0.36	-0.11	0.66	0.06	0.82	-0.17	0.59	-0.28	-0.32	-0.33	-0.18	-0.18	0.47	0.46	0.31	-0.63	0.09	-0.04	-0.06	0.02	-0.03	0.57	0.12	0.11	-0.07	-0.47	""	carnitine O-palmitoyltransferase 2 [Source:VB Community Annotation]
AGAP002431	-0.87	-0.5	-0.21	1.69	0	-1.13	-0.14	0.5	0.32	1.2	-0.32	-0.24	-0.22	-0.14	-0.22	-0.14	0.77	0.62	0.43	0.32	0.51	1.15	0.85	0.95	-0.28	-0.41	-0.54	-0.13	-0.35	-0.11	-0.25	-0.28	-0.01	-0.69	0.82	""	""
AGAP011584	-0.24	0.4	0.07	0.14	0.18	0.06	0.62	0.48	0.71	0.62	-0.2	-0.26	-0.15	-0.22	0.12	0.07	-0.3	-0.32	-0.35	-0.31	-0.45	0.02	-0.1	-0.01	-0.45	-0.17	-0.06	0.1	-0.02	-0.16	0.22	-0.6	-0.2	-0.06	-0.14	""	""
AGAP009996	-0.49	0.72	0.02	-0.66	-0.39	0.07	-0.34	-0.11	-0.58	-0.37	-0.37	1.21	-0.19	1.39	-0.12	1.46	-0.97	-1.01	-0.88	-0.96	-0.93	0.32	0.08	0.27	0.91	0.67	0.21	0.26	0.68	1.18	1.27	1.53	1.49	0.09	-0.4	""	peptidyl-prolyl cis-trans isomerase-like 3 [Source:VB Community Annotation]
AGAP011174	0.21	-0.02	0.21	-0.08	-0.34	-0.05	-0.26	-0.47	-0.37	-0.63	-0.11	-0.26	-0.01	-0.16	-0.14	-0.29	-0.08	-0.06	-0.06	0	-0.09	-0.29	-0.11	-0.53	-0.19	0.06	-0.09	-0.11	-0.16	-0.34	-0.04	-0.42	-0.26	-0.18	-0.27	""	26S proteasome regulatory subunit T1 [Source:VB Community Annotation]
AGAP003185	0.19	-0.25	0.48	0.11	-0.19	0.01	-0.32	-0.25	-0.44	-0.33	0.19	-0.02	0.27	0.05	0.14	-0.08	-0.1	-0.05	0.19	0.03	0.07	-0.08	-0.18	0.15	-0.3	0.08	0.12	0.09	0.11	0.32	0.53	0.17	0.23	-0.35	-0.53	""	""
AGAP001117	-0.89	-0.09	0.28	-0.1	1.08	0.9	-2.02	-2.02	-1.74	-1.82	0.09	0.04	-0.58	-0.62	-0.39	-0.44	0.03	-0.12	-0.82	-1.31	-0.33	1.11	0.99	0.87	1.52	0.72	0.02	0.62	0.09	-0.91	0.11	0.55	0.03	-1.48	-1.84	Gr37	gustatory receptor 37 [Source:VB Community Annotation]
AGAP008954	-0.35	-0.26	-0.44	-0.49	0.24	-0.12	-0.05	-0.87	-0.04	-0.32	0.93	-1.04	0.75	-1.22	0.87	-1.11	-0.1	-0.4	-0.18	-0.25	-0.12	-0.29	0.16	-1.06	-0.19	-0.01	-0.13	-0.01	-0.16	-1.65	-0.69	-1.49	-1.29	-0.92	-0.89	""	SET and MYND domain-containing protein [Source:VB Community Annotation]
AGAP013398	0.22	0.12	0.09	-0.1	-0.14	-0.28	-0.3	-0.28	-0.29	-0.4	-0.21	0.47	-0.21	0.47	-0.18	0.49	-0.53	-0.64	-0.16	-0.4	-0.31	0.04	0.24	0.17	-0.05	0.11	-0.04	0	-0.05	0.09	0.43	0.27	0.15	0.05	-0.25	""	DDRGK domain-containing protein 1 [Source:VB Community Annotation]
AGAP006654	1.95	-0.12	0.56	-1.8	0.45	0.41	0.38	-0.88	0.02	1.31	0.26	2.41	-1.55	0.56	-1.32	0.81	-0.36	-0.83	-1.15	-1.33	-0.81	0.4	0.48	0.8	0.21	2.67	1.54	3.35	2.34	2.45	3.07	3.19	2.49	1.07	0.74	""	3-beta-hydroxy-delta-5-steroid dehydrogenase, steroid delta-isomerase [Source:VB Community Annotation]
AGAP010849	-0.44	-0.46	-0.52	-0.22	0.25	0.04	-0.85	-0.48	-0.54	-0.63	-0.8	-0.08	-1.17	-0.44	-0.77	-0.05	0.97	0.81	1	1.26	1.15	-0.87	-0.75	-0.5	1.15	0.1	-0.29	-0.27	-0.08	-0.63	-0.53	-0.15	-0.52	-1.07	0.42	""	""
AGAP001185	-0.26	0.46	0.15	1.69	-1.1	-0.96	0.5	1.28	1.06	1	-0.19	-1.07	-0.51	-1.4	-0.55	-1.44	0.56	0.52	0.56	0.47	0.52	-0.85	-0.68	-0.9	0.65	-0.72	-0.15	0.2	0.05	-1.59	-1.62	-1.01	-0.84	-0.91	-0.02	""	sodium-coupled monocarboxylate transporter 1 [Source:VB Community Annotation]
AGAP006222	-0.75	-1.23	-2.07	-0.08	-1.56	-1.74	-1.81	-1.22	-0.63	-1.83	-0.65	-3.5	-1.31	-4.15	-0.77	-3.61	0.53	-0.14	-0.74	-0.34	-0.02	-2.16	-3.41	-2.43	-1.04	-0.47	-0.17	-2.62	-2.44	-4.07	-3.26	-4.23	-4.54	1.67	2.75	""	glucosyl/glucuronosyl transferases [Source:VB Community Annotation]
AGAP007809	0.29	0.14	-0.05	0.18	1.04	0.3	0.37	0.49	0.43	0.39	-0.11	0.6	-0.03	0.67	-0.2	0.51	-0.26	-0.48	-0.03	-0.09	-0.15	0.73	0.54	0.83	0.68	0.19	0.5	0.44	-0.04	0.45	0.76	0.63	0.52	0.14	0	AP7862	""
AGAP008718	0.3	-0.91	0.35	0.25	-0.71	-0.34	-0.16	-0.37	-0.98	-0.63	0.15	-0.03	0.04	-0.15	-0.17	-0.35	0.07	0	0.03	0.11	0.13	-0.82	-0.78	-0.71	-0.15	0.01	0.19	0.5	0.25	0.03	0.48	-0.02	0.13	-0.37	-0.79	""	solute carrier family 9 (sodium/hydrogen exchanger), member 6/7 [Source:VB Community Annotation]
AGAP007112	0.17	0.33	0.32	-0.27	-0.15	0.04	0.02	0.14	0.21	0.05	-0.26	0.13	-0.02	0.36	0.04	0.43	-0.37	-0.41	-0.07	-0.14	-0.22	0.23	-0.01	0.56	-0.26	0.11	0.12	0.15	0.21	0.71	0.83	0.34	0.65	-0.46	-0.32	""	Pescadillo homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7QIX1]
AGAP011586	-0.22	-0.34	-0.03	0.05	0.12	0.25	-0.09	0.15	0.02	0.14	0.15	-0.14	0.12	-0.18	-0.15	-0.45	0.81	0.37	0.88	0.65	0.87	-0.71	-0.1	-0.17	-0.32	-0.27	0.23	-0.26	-0.27	-0.29	-0.29	-0.4	-0.15	0.19	0.28	""	protein-tyrosine phosphatase [Source:VB Community Annotation]
AGAP008944	-0.19	0.13	-0.24	0.05	0.38	0.24	-0.03	-0.26	0.44	0.38	0.94	1	1.43	1.48	1.56	1.61	0.06	-0.13	-0.02	0.05	-0.11	-0.28	-0.37	-0.23	0.2	-0.22	-0.01	-0.07	0.07	-0.49	-1.05	-0.59	-0.4	-0.19	-0.36	""	""
AGAP009059	0.31	0.26	0.93	-0.38	0.06	0.17	0.13	0.22	0.06	0.16	0.88	0.23	0.69	0.04	0.64	-0.01	-0.15	-0.2	0.01	-0.02	0.06	-1.68	-0.7	-0.87	0.17	-0.31	-0.03	-0.33	-0.12	0.07	-0.13	0.02	0.1	0	-0.2	""	Glia maturation factor beta [Source:VB Community Annotation]
AGAP008018	0.23	-0.55	-0.02	0.95	-0.3	-0.15	-0.82	-0.71	-0.29	-0.66	-0.36	-0.04	-0.91	-0.59	-0.66	-0.34	0.46	0.93	0.51	0.45	0.57	-0.41	-0.54	-0.55	-0.67	-0.2	-0.65	0.11	-0.39	-1.17	-0.78	-0.47	-0.84	-0.59	0.43	CYP12F4	cytochrome P450 [Source:VB Community Annotation]
